tag1,tag2,site,transect,Y,X,ID,species,class,treatment,status,notes.1,notes.2,DATE,STATUS,c1,c2,ch,canopy,stem_d1,stem_d2,notes
434,,G,3,63,0,888,ATV,5,remove,1,browsed,,,,,,,,,,
745,,G,3,65,0.5,745,ATP,4,control,1,,,,,,,,,,,
627,,G,3,71,0,889,ATP,5,remove,1,,,,,,,,,,,
541,,G,3,73,0,890,ATV,5,control,1,,,,,,,,,,,
746,,G,3,75,-0.5,746,ATP,4,control,1,,,,,,,,,,,
747,,G,3,75,0.5,747,ATP,4,remove,1,browsed,,,,,,,,,,
450,,G,3,81,0,891,ATP,5,control,1,,,,,,,,,,,
798,,G,3,83,0,892,ATV,5,control,1,browsed,,,,,,,,,,
749,,G,3,85,0.5,749,ATP,4,control,1,,,,,,,,,,,
548,,G,3,87,-0.5,548,ATV,4,control,1,,,,,,,,,,,
549,,G,3,87,0.5,549,ATV,4,remove,1,browsed,,,,,,,,,,
454,,G,3,91,0,893,ATP,5,control,1,,,,,,,,,,,
568,,G,3,93,0,894,ATV,5,remove,1,browsed,,,,,,,,,,
66,,G,4,3.8,0.4,66,ATV,1,remove,0,left tag,,,,,,,,,,
545,,G,4,3.9,-1.5,1093,ATV,1,control,2,plant lost,,,,,,,,,,
67,,G,4,4.9,0.8,67,ATV,1,control,1,,,,,,,,,,,
74,,G,4,5.4,2.7,853,ATV,1,control,1,,,,,,,,,,,
68,,G,4,5.7,0.1,68,ATV,1,remove,0,left tag,,,,,,,,,,
77,,G,4,15.4,-2.2,854,ATV,1,control,1,,,,,,,,,,,
740,,G,4,18.5,-0.5,1092,ATV,1,control,1,browsed,,,,,,,,,,
750,,G,4,18.8,-0.3,1091,ATV,1,remove,1,browsed,,,,,,,,,,
70,,G,4,45.6,-0.9,70,ATV,1,control,1,browsed,,,,,,,,,,
73,,G,4,49.1,-0.2,852,ATV,1,remove,1,browsed,,,,,,,,,,
734,,G,4,59.8,-0.2,1090,ATV,1,remove,1,,,,,,,,,,,
71,,G,4,73,1.1,850,ATV,1,control,1,,,,,,,,,,,
78,,G,4,76.7,0.1,78,ATV,1,control,1,,,,,,,,,,,
69,,G,4,83,-3.3,849,ATV,1,control,1,browsed,,,,,,,,,,
79,,G,4,84.3,-0.8,79,ATV,1,remove,1,browsed,,,,,,,,,,
81,,G,4,99.4,1.2,81,ATV,1,remove,1,,,,,,,,,,,
228,,H,1,5.4,0.2,228,ATV,1,control,0,left tag,,,,,,,,,,
655,,H,1,7.1,-5,1080,ATV,1,control,1,browsed,,,,,,,,,,
475,,H,1,13.2,-3,1081,ATV,1,remove,1,,,,,,,,,,,
230,,H,1,14.1,0.7,230,ATV,1,control,1,,,,,,,,,,,
773,,H,1,21.2,0.1,1082,ATV,1,remove,1,,,,,,,,,,,
231,,H,1,22.3,0,231,ATP,1,remove,3,"left tag, changed from 1 to 3, because no leaves or measurement",,,,,,,,,,
232,,H,1,42,-2.7,845,ATV,1,remove,0,left tag,,,,,,,,,,
235,,H,1,47.1,-0.5,846,ATV,1,remove,0,left tag,,,,,,,,,,
774,,H,1,49.1,-4.6,1086,ATV,1,control,1,,,,,,,,,,,
790,,H,1,53.3,1.5,1083,ATV,1,remove,1,,,,,,,,,,,
505,,H,1,53.8,0.1,1084,ATV,1,control,1,,,,,,,,,,,
233,,H,1,55.7,0,233,ATV,1,control,0,left tag,,,,,,,,,,
